 89817 95735     j    rj201.775  2457201.748687     -1.05  0.949019   0.3701   56448.0 
 89818 95735     j    rj201.776  2457201.749972     -0.19  0.943598   0.3708   56719.0 
 89819 95735     j    rj202.665  2457209.745592     -0.52  1.078641   0.3826   55962.0 
 89820 95735     j    rj202.666  2457209.746842     -0.81  0.966808   0.3789   57053.0 
 89821 95735     j    rj202.667  2457209.748081     -1.62  0.929363   0.3817   55718.0 
 89822 95735     j    rj202.1365 2457213.744183     -0.96  1.066904   0.3773   56329.0 
 89823 95735     j    rj202.1366 2457213.745584     -2.95  1.007522   0.3776   56352.0 
 89824 95735     j    rj202.1367 2457213.746973     -0.64  1.067185   0.3789   56907.0 
 89825 95735     j    rj202.1970 2457216.748461     -0.19  1.012771   0.384    56434.0 
 89826 95735     j    rj202.1971 2457216.749746     -2.23  0.969964   0.3886   55346.0 
 89827 95735     j    rj202.1972 2457216.751065     -0.54  0.944765   0.3898   55754.0 
 89828 95735     j    rj233.1461 2457586.732588      1.84  0.956524   0.3923   55971.0 
 89829 95735     j    rj233.1462 2457586.733815      2.59  0.918959   0.3913   55565.0 
 89830 95735     j    rj233.1463 2457586.73503       1.59  0.898484   0.403    57025.0 
 89831 95735     j    rj246.1352 2457718.163649     -4.59  0.867815   0.3575   56299.0 
 89832 95735     j    rj246.1353 2457718.164922     -5.49  0.875213   0.3561   55399.0 
 89833 95735     j    rj246.1354 2457718.166196     -2.83  0.936135   0.3643   56303.0 
 89834 95735     j    rj310.100  2458439.121814     -0.39  1.713013   0.3704    9811.0 
 89835 95735     j    rj316.198  2458491.184334     -2.40  1.08017    0.3448   55939.0 
 89836 95735     j    rj316.199  2458491.185642     -1.84  1.040212   0.3453   56071.0 
 89837 95735     j    rj316.200  2458491.186926     -1.00  1.073314   0.3409   54054.0 
 89838 95735     j    rj316.200  2458491.186926     -1.00  1.073314   0.3409   54054.0 
 89839 95735     j    rj316.200  2458491.186926     -1.00  1.073314   0.3409   54054.0 
 89840 95735     j    rj316.456  2458491.956211     -4.64  0.991457   0.3509   56345.0 
 89841 95735     j    rj316.457  2458491.957612      1.00  1.067504   0.3488   57526.0 
 89842 95735     j    rj316.458  2458491.959012     -1.79  1.072286   0.3513   57513.0 
 89843 95735     j    rj317.117  2458508.993704     -1.45  1.021046   0.3455   57683.0 
 89844 95735     j    rj317.118  2458508.995174     -2.27  1.076507   0.3443   56859.0 
 89845 95735     j    rj317.119  2458508.996517     -3.74  1.004424   0.3422   56896.0 
 89846 95735     j    rj317.400  2458510.070171     -1.70  1.020483   0.3554   57307.0 
 89847 95735     j    rj317.401  2458510.074026     -1.60  1.070843   0.3515   57679.0 
 89848 95735     j    rj317.402  2458510.077151     -4.66  1.074896   0.3547   57594.0 
 89849 95735     j    rj319.136  2458532.959286     -2.95  1.075076   0.3508   56878.0 
 89850 95735     j    rj319.137  2458532.960871     -4.15  0.92087    0.3498   57946.0 
 89851 95735     j    rj319.138  2458532.962457     -2.77  0.963031   0.3484   57164.0 
 89852 95735     j    rj320.108  2458559.91381      -3.13  1.053016   0.3667   55914.0 
 89853 95735     j    rj320.109  2458559.915315     -4.10  1.001412   0.3632   55490.0 
 89854 95735     j    rj320.110  2458559.916854     -4.65  1.034389   0.3644   56210.0 
 89855 95735     j    rj322.86   2458568.807763     -1.65  0.987801   0.4038   56996.0 
 89856 95735     j    rj322.87   2458568.809117     -3.71  1.013786   0.407    57402.0 
 89857 95735     j    rj322.88   2458568.810517     -3.49  1.00374    0.4025   57740.0 
 89858 95735     j    rj322.288  2458569.815643      1.64  1.015522   0.4838   57872.0 
 89859 95735     j    rj322.289  2458569.816893      1.20  0.979516   0.482    56063.0 
 89860 95735     j    rj322.290  2458569.818166     -1.26  0.956415   0.485    56393.0 
 89861 95735     j    rj323.86   2458584.921227     -1.56  1.018688   0.3706   57343.0 
 89862 95735     j    rj323.87   2458584.924074      0.21  1.406408   0.3637   14326.0 
 89863 95735     j    rj328.89   2458610.926524     -6.48  1.014871   0.3619   56412.0 
 89864 95735     j    rj328.90   2458610.928005     -3.28  1.072256   0.3593   49958.0 
 89865 95735     j    rj329.103  2458615.920209     -2.26  0.997798   0.3673   56318.0 
 89866 95735     j    rj329.104  2458615.921598     -1.65  1.016806   0.3681   56611.0 
 89867 95735     j    rj329.105  2458615.922998      0.10  0.956034   0.4401   55997.0 
 89868 95735     j    rj351.471  2458796.158319     -1.18  1.05946    0.3777   56376.0 
 89869 95735     j    rj351.472  2458796.159928     -1.46  1.029764   0.3747   55776.0 
