 80932 75732     j    rj67.706   2454929.859858    -40.08  1.286473   0.168    46174.0 
 80933 75732     j    rj67.707   2454929.861444    -34.80  1.318535   0.169    46296.0 
 80934 75732     j    rj67.1001  2454934.852728     81.47  1.227266   0.167    46861.0 
 80935 75732     j    rj67.1002  2454934.853654     81.37  1.131537   0.168    46416.0 
 80936 75732     j    rj67.1003  2454934.854568     80.70  1.19476    0.167    47648.0 
 80937 75732     j    rj68.109   2454954.845756    -12.63  1.289017   0.177    47537.0 
 80938 75732     j    rj68.110   2454954.846439    -12.91  1.20436    0.178    49030.0 
 80939 75732     j    rj68.111   2454954.847122    -15.23  1.174888   0.177    48803.0 
 80940 75732     j    rj68.513   2454955.873979    -28.81  1.21108    0.174    49685.0 
 80941 75732     j    rj70.117   2454983.744673     -3.67  1.205563   0.168    49406.0 
 80942 75732     j    rj70.118   2454983.745367     -7.18  1.15211    0.168    49748.0 
 80943 75732     j    rj70.119   2454983.746073     -3.56  1.286051   0.169    48435.0 
 80944 75732     j    rj70.374   2454984.760065    -34.45  1.209853   0.169    46984.0 
 80945 75732     j    rj70.375   2454984.760783    -35.06  1.307256   0.169    48092.0 
 80946 75732     j    rj70.376   2454984.761489    -37.00  1.164924   0.169    46504.0 
 80947 75732     j    rj70.663   2454985.733402    -48.53  1.199776   0.169    47635.0 
 80948 75732     j    rj70.664   2454985.734212    -50.76  1.16498    0.169    47349.0 
 80949 75732     j    rj70.665   2454985.734906    -48.94  1.202848   0.169    49000.0 
 80950 75732     j    rj70.964   2454986.757372    -39.58  1.236939   0.169    51083.0 
 80951 75732     j    rj70.965   2454986.758113    -40.49  1.119124   0.171    49392.0 
 80952 75732     j    rj70.966   2454986.75883     -44.61  1.166213   0.171    47591.0 
 80953 75732     j    rj70.1163  2454987.734946    -39.60  1.161082   0.169    48752.0 
 80954 75732     j    rj70.1164  2454987.735814    -38.83  1.16545    0.171    47852.0 
 80955 75732     j    rj70.1165  2454987.736682    -34.64  1.318938   0.171    49192.0 
 80956 75732     j    rj70.1360  2454988.735274    -13.40  1.255462   0.172    51167.0 
 80957 75732     j    rj70.1361  2454988.736119    -14.33  1.19584    0.17     48445.0 
 80958 75732     j    rj70.1362  2454988.736871    -14.76  1.192642   0.173    47465.0 
 80959 75732     j    rj77.513   2455109.136438     65.39  1.24586    0.166    48473.0 
 80960 75732     j    rj77.514   2455109.137294     63.83  1.275195   0.166    47526.0 
 80961 75732     j    rj77.515   2455109.138024     59.23  1.240833   0.166    47930.0 
 80962 75732     j    rj78.247   2455134.15161     -32.01  1.127015   0.167    50482.0 
 80963 75732     j    rj78.248   2455134.152304    -36.01  1.210611   0.168    49141.0 
 80964 75732     j    rj78.249   2455134.152999    -32.72  1.195621   0.168    50534.0 
 80965 75732     j    rj79.122   2455164.126506    -16.11  1.222443   0.165    50048.0 
 80966 75732     j    rj79.123   2455164.127247    -15.03  1.141045   0.165    49184.0 
 80967 75732     j    rj79.124   2455164.127988    -17.39  1.082731   0.165    48598.0 
 80968 75732     j    rj832.225  2455167.024461     61.94  1.205185   0.1634   80217.0 
 80969 75732     j    rj832.226  2455167.025387     64.05  1.231276   0.1636   78567.0 
 80970 75732     j    rj832.227  2455167.026383     65.35  1.21493    0.1638   78732.0 
 80971 75732     j    rj832.228  2455167.027378     64.19  1.18296    0.1641   77344.0 
 80972 75732     j    rj80.642   2455172.115409     64.73  1.303162   0.165    47641.0 
 80973 75732     j    rj80.643   2455172.116138     64.12  1.233946   0.165    49754.0 
 80974 75732     j    rj80.644   2455172.116867     65.67  1.178174   0.165    47607.0 
 80975 75732     j    rj80.865   2455173.030689     38.71  1.211319   0.167    52036.0 
 80976 75732     j    rj80.866   2455173.031383     41.60  1.277198   0.166    48342.0 
 80977 75732     j    rj80.867   2455173.032089     42.80  1.131556   0.166    47589.0 
 80978 75732     j    rj81.192   2455188.096847     10.78  1.35017    0.172    51868.0 
 80979 75732     j    rj81.193   2455188.097588      8.54  1.383349   0.173    48573.0 
 80980 75732     j    rj81.194   2455188.098363      8.79  1.314993   0.173    49808.0 
 80981 75732     j    rj81.403   2455189.077622    -18.71  1.429588   0.174    32473.0 
 80982 75732     j    rj81.404   2455189.078247    -22.77  1.384002   0.173    30846.0 
 80983 75732     j    rj81.405   2455189.078849    -21.93  1.384362   0.173    33401.0 
 80984 75732     j    rj81.695   2455190.124002    -47.29  1.235554   0.174    50104.0 
 80985 75732     j    rj81.696   2455190.124685    -42.89  1.286322   0.175    48823.0 
 80986 75732     j    rj81.697   2455190.125356    -48.06  1.248699   0.174    51189.0 
 80987 75732     j    rj81.1165  2455192.002763    -63.29  1.327789   0.174    52039.0 
 80988 75732     j    rj81.1166  2455192.003446    -63.39  1.143222   0.174    49286.0 
 80989 75732     j    rj81.1167  2455192.004117    -65.14  1.153734   0.175    51909.0 
 80990 75732     j    rj81.1492  2455193.175557    -52.39  1.387349   0.172    48129.0 
 80991 75732     j    rj81.1493  2455193.17624     -50.62  1.17648    0.172    48789.0 
 80992 75732     j    rj82.193   2455196.964795     50.64  1.252115   0.166    52541.0 
 80993 75732     j    rj82.194   2455196.965489     50.58  1.219797   0.165    48773.0 
 80994 75732     j    rj82.195   2455196.966195     53.46  1.221469   0.166    48843.0 
 80995 75732     j    rj82.757   2455198.973242     88.05  1.272386   0.165    49126.0 
 80996 75732     j    rj82.758   2455198.973971     86.06  1.199416   0.166    49288.0 
 80997 75732     j    rj82.759   2455198.974689     84.26  1.242535   0.163    49782.0 
 80998 75732     j    rj835.208  2455200.992458     60.29  1.191644   0.1648   80813.0 
 80999 75732     j    rj835.209  2455200.993407     62.80  1.183612   0.1642   77986.0 
 81000 75732     j    rj835.210  2455200.994391     64.09  1.143042   0.1642   78964.0 
 81001 75732     j    rj835.211  2455200.99534      62.93  1.200817   0.1641   76854.0 
 81002 75732     j    rj835.212  2455200.996324     62.85  1.194585   0.1638   77108.0 
 81003 75732     j    rj83.54    2455229.080267     81.61  1.186055   0.173    49613.0 
 81004 75732     j    rj83.55    2455229.080996     81.36  1.147741   0.173    51797.0 
 81005 75732     j    rj83.56    2455229.081748     81.21  1.262547   0.173    48593.0 
 81006 75732     j    rj83.339   2455229.884589     60.90  1.16764    0.171    51953.0 
 81007 75732     j    rj83.340   2455229.885306     64.72  1.140337   0.171    50106.0 
 81008 75732     j    rj83.341   2455229.886047     61.00  1.163488   0.171    52840.0 
 81009 75732     j    rj83.938   2455231.812763     11.57  1.170094   0.168    50035.0 
 81010 75732     j    rj83.939   2455231.813527     10.68  1.241159   0.168    51319.0 
 81011 75732     j    rj83.940   2455231.814418     10.39  1.301903   0.168    49246.0 
 81012 75732     j    rj85.123   2455255.815516     73.76  1.074741   0.175    51863.0 
 81013 75732     j    rj85.124   2455255.816442     74.45  1.154389   0.175    50001.0 
