_tab5_1,RV,e_RV,FWHM,Contrast,Bisector,logR_HK,Texp
6886.761590,-18.42489,0.00087,6.06365,48.896,0.01063,-5.0040,900
6886.763824,-18.42442,0.00100,6.06862,47.288,0.01241,-5.0004,900
6887.754728,-18.41871,0.00046,6.05714,49.852,0.01250,-5.0005,900
6888.662017,-18.42281,0.00050,6.05653,49.890,0.01072,-5.0153,900
6888.664101,-18.42311,0.00049,6.05790,49.888,0.01132,-5.0189,900
6888.666068,-18.42268,0.00051,6.05665,49.887,0.01047,-5.0151,900
6888.668059,-18.42298,0.00052,6.05751,49.894,0.01047,-5.0164,900
6888.670177,-18.42300,0.00053,6.05830,49.890,0.01119,-5.0155,900
6888.672087,-18.42292,0.00051,6.05938,49.885,0.01155,-5.0160,900
6889.671811,-18.42358,0.00069,6.05576,49.913,0.01030,-5.0218,900
6889.673744,-18.42329,0.00061,6.05901,49.886,0.00948,-5.0270,900
6889.675723,-18.42331,0.00064,6.05971,49.885,0.01204,-5.0128,900
6889.677332,-18.42399,0.00138,6.05595,49.880,0.01174,-5.0126,900
6889.679925,-18.42406,0.00111,6.05757,49.910,0.00885,-4.9970,900
6889.681811,-18.42251,0.00061,6.05708,49.897,0.01369,-5.0181,900
6890.603383,-18.42095,0.00129,6.06198,49.895,0.01123,-5.0224,900
6890.605431,-18.42065,0.00152,6.05516,49.922,0.00530,-4.9960,900
6890.607677,-18.41765,0.00136,6.06596,49.852,0.01124,-5.0185,900
6890.609702,-18.42022,0.00128,6.05819,49.899,0.01004,-4.9958,900
6890.611716,-18.41839,0.00093,6.05682,49.920,0.00926,-5.0199,900
6890.613672,-18.41852,0.00071,6.05950,49.923,0.00963,-5.0185,900
6890.617839,-18.41822,0.00061,6.05666,49.908,0.00977,-5.0147,900
6890.619888,-18.41728,0.00054,6.05794,49.888,0.01002,-5.0220,900
6890.621856,-18.41776,0.00047,6.05738,49.875,0.01096,-5.0226,900
6890.623881,-18.41821,0.00046,6.05711,49.876,0.01163,-5.0236,900
6890.625826,-18.41817,0.00050,6.05755,49.879,0.01154,-5.0206,900
6890.627898,-18.41814,0.00054,6.05804,49.886,0.01295,-5.0210,900
6922.579756,-18.42380,0.00041,6.05851,49.836,0.01154,-5.0220,900
6922.583587,-18.42323,0.00040,6.05872,49.830,0.01089,-5.0288,900
6922.587036,-18.42331,0.00042,6.05895,49.837,0.01271,-5.0239,900
6922.696645,-18.42158,0.00041,6.05935,49.830,0.01170,-5.0093,900
6922.699770,-18.42180,0.00041,6.05878,49.823,0.01173,-5.0097,900
6922.702953,-18.42124,0.00041,6.05953,49.834,0.01259,-5.0113,900
6922.706171,-18.42093,0.00042,6.05878,49.838,0.01040,-5.0071,900
6923.517323,-18.42360,0.00039,6.05907,49.795,0.01247,-5.0149,900
6923.521085,-18.42358,0.00039,6.05971,49.801,0.01174,-5.0147,900
6923.524835,-18.42373,0.00039,6.06057,49.796,0.01173,-5.0142,900
